"Abatacept.logFC","Abatacept.AveExpr","Abatacept.t","Abatacept.PValue","Abatacept.FDR","Abatacept.B","Covid.logFC","Covid.AveExpr","Covid.t","Covid.PValue","Covid.FDR","Covid.B"
-0.753831294802572,-1.05020880678253,-4.37129331504983,3.93611270697695e-05,0.0267801446026543,1.60105235559307,0.763989169661849,2.31985114424237,2.940569006865,0.00407730161710186,1,-2.28349177073351
-0.434794984139526,0.0632028219165236,-4.20939413426705,7.05977737555362e-05,0.0341284501023474,1.39071292849073,0.54419258016543,0.650200785421966,2.61206650360984,0.0103981890322379,1,-2.91731976878032
-0.64768985453806,0.180618614408303,-4.47107132676257,2.73070228325933e-05,0.0218912291586106,2.21615532242815,0.608006950105932,3.39420486814996,2.38419650219331,0.019019252361609,1,-3.75929932122306
-1.27456365467394,-1.23827992713722,-6.1260359916998,3.88251938658328e-08,0.000713218811315349,6.779948201739,0.624933395772811,2.09065912299559,2.28549872549764,0.0244128139629019,1,-3.8181681585884
-0.594209561917948,-0.865864281825247,-4.19910849861136,7.32387355269626e-05,0.034497322349495,1.15924414265179,0.484342155802932,1.67678359704735,2.07866979520549,0.0402297366371898,1,-4.18471682671293
-0.517865774454074,-0.0479290129241229,-4.59969729871621,1.69419461993804e-05,0.0218912291586106,2.5663937846017,0.470032180265732,1.75621895364647,1.95850382399191,0.0529805693930477,1,-4.42087143063361
-0.592802439978434,1.12266418237116,-4.45850491615574,2.86004082638353e-05,0.0218912291586106,2.30015042995295,0.43663442967404,4.50331092181501,1.85861419020317,0.0660481346786969,1,-4.90341086826156
-0.945406990497084,3.37921142155123,-4.61865150583369,1.57824011699455e-05,0.0218912291586106,2.86040809755203,-0.727653833678974,6.21989010093568,-1.30524338875333,0.194835937456609,1,-5.73785825663528
-0.577304366618136,0.0848521829231718,-5.70893976660991,2.17736647692379e-07,0.0019999111090545,6.25227824823018,0.185956360727964,-0.22134902099775,1.27459372307819,0.205432131691592,1,-5.16916610259743
-1.10266454311177,0.982560873312594,-4.33254658584761,4.53148143006172e-05,0.026965368083727,1.88770167147367,-0.635184322038363,3.52757119594176,-1.13565958858267,0.25884136139986,1,-5.8680755790505
-1.08196538232058,5.53809131198001,-4.76680369686193,9.02503910612613e-06,0.021790266428594,3.3561514899493,-0.702881959542332,7.56320736344668,-1.08925925477166,0.278684406581321,1,-5.9202230927068
-0.933076462041077,3.54693059505638,-4.23811496538289,6.37008318484887e-05,0.0325051189182427,1.5597929309378,-0.473667274084579,4.57467342314622,-0.885560815890084,0.378000514637982,1,-6.19785309959501
-0.848675235695683,4.82947594640565,-4.56913181054865,1.89883229091408e-05,0.0218912291586106,2.65015459205036,-0.324029882507232,8.18382286049076,-0.551009052083654,0.582869056032479,1,-6.31991358835739
-0.855524478265341,4.57156697585756,-4.12586980605856,9.49970215486585e-05,0.0415498877583061,1.15195309926029,-0.176514119233112,8.92983884605871,-0.274625800640726,0.78417610493299,1,-6.38920718881498
-0.806005323714958,4.94673946222668,-4.43248198070981,3.14703533036826e-05,0.0222350150072557,2.17451435436867,-0.150581570606116,6.79194249581475,-0.259372176652517,0.795886766736015,1,-6.51725427957052
